COD_TOURNEY_ID,DES_TOURNEY_NAME,DES_TOURNEY_LEVEL,NUM_TOURNEY_DRAW_SIZE,DES_TOURNEY_SURFACE,FLAG_TOURNEY_IS_INDOOR,REF_YEAR,DATE_INGESTION
1971-311,Queen's Club,A,64.0,Grass,False,1971,2026-08-22
1971-312,Bologna WCT,A,64.0,Carpet,True,1971,2026-08-22
1971-313,Bristol,A,32.0,Grass,False,1971,2026-08-22
1971-314,Gstaad,A,32.0,Clay,False,1971,2026-08-22
1971-316,Bastad,A,32.0,Clay,False,1971,2026-08-22
1971-317,Hilversum,A,64.0,Hard,False,1971,2026-08-22
1971-319,Kitzbuhel,A,32.0,Clay,False,1971,2026-08-22
1971-325,Palermo,A,64.0,Clay,False,1971,2026-08-22
1971-332,Cologne WCT,A,32.0,Carpet,True,1971,2026-08-22
1971-338,Sydney Outdoor,A,32.0,Hard,False,1971,2026-08-22
1971-343,Columbus,A,32.0,Hard,False,1971,2026-08-22
1971-344,Caracas,A,32.0,Clay,False,1971,2026-08-22
1971-347,Bournemouth,A,32.0,Clay,False,1971,2026-08-22
1971-352,Paris Indoor,A,32.0,Clay,True,1971,2026-08-22
1971-355,Salisbury,A,64.0,Hard,False,1971,2026-08-22
1971-388,Dallas WCT,A,32.0,Carpet,True,1971,2026-08-22
1971-389,Denver,A,8.0,Carpet,True,1971,2026-08-22
1971-3936,Melbourne,A,64.0,Grass,False,1971,2026-08-22
1971-401,Philadelphia WCT,A,32.0,Carpet,True,1971,2026-08-22
1971-405,Houston,A,32.0,Clay,False,1971,2026-08-22
1971-406,Brussels,A,32.0,Clay,False,1971,2026-08-22
1971-410,Monte Carlo,A,32.0,Clay,False,1971,2026-08-22
1971-414,Hamburg,A,32.0,Clay,False,1971,2026-08-22
1971-416,Rome,M,64.0,Clay,False,1971,2026-08-22
1971-417,Boston WCT,A,32.0,Hard,False,1971,2026-08-22
1971-418,Washington WCT,A,64.0,Clay,False,1971,2026-08-22
1971-421,Montreal / Toronto,M,64.0,Clay,False,1971,2026-08-22
1971-422,Cincinnati,M,64.0,Clay,False,1971,2026-08-22
1971-423,Los Angeles,A,64.0,Hard,False,1971,2026-08-22
1971-424,Berkeley,A,64.0,Hard,False,1971,2026-08-22
1971-425,Barcelona WCT,A,64.0,Clay,False,1971,2026-08-22
1971-426,Johannesburg,A,128.0,Hard,False,1971,2026-08-22
1971-429,Stockholm Open,A,64.0,Hard,False,1971,2026-08-22
1971-430,Wembley,A,32.0,Hard,False,1971,2026-08-22
1971-436,Charlotte,A,32.0,Hard,False,1971,2026-08-22
1971-520,Roland Garros,G,128.0,Clay,False,1971,2026-08-22
1971-540,Wimbledon,G,128.0,Grass,False,1971,2026-08-22
1971-560,US Open,G,128.0,Grass,False,1971,2026-08-22
1971-580,Australian Open,G,64.0,Grass,False,1971,2026-08-22
1971-583,Manchester,A,128.0,Grass,False,1971,2026-08-22
1971-605,Masters,M,7.0,Carpet,True,1971,2026-08-22
1971-610,Dallas,A,8.0,Carpet,True,1971,2026-08-22
1971-6120,Nice,A,64.0,Clay,False,1971,2026-08-22
1971-653,Fort Worth WCT,A,32.0,Hard,False,1971,2026-08-22
1971-654,Sacramento,A,64.0,Hard,False,1971,2026-08-22
1971-657,Hampton,A,32.0,Hard,False,1971,2026-08-22
1971-663,Louisville WCT,A,32.0,Clay,False,1971,2026-08-22
1971-681,Miami WCT,A,32.0,Hard,False,1971,2026-08-22
1971-6817,San Juan,A,32.0,Hard,False,1971,2026-08-22
